shapeName,avg_rainfall_mm,rainfall_zscore,ndvi_deviation,pop_density_norm,slope_norm,composite_risk_index,risk_category
Turkana,41.71004313973064,-1.104718072937492,-0.013987429629058357,0.8846703715909963,0.32267630274177567,0.4175754213937619,Medium
Marsabit,33.20219887030517,-1.266832551015413,-0.088330404685836,0.8024156103173075,0.21696895542589084,0.46303587472070123,Medium
Mandera,11.052705323941648,-1.688884656372236,-0.1339559775183271,0.9321510599658216,0.2010409799096295,0.49357416765479784,Medium
Wajir,14.841966580976864,-1.6166813941201599,-0.13793305844808296,0.9801329963423283,0.19671798102400848,0.5162186834191261,Medium
West Pokot,32.36348239272388,-1.282814047586415,0.0003545737732716381,0.9631729020624021,0.6113761281169482,0.423303001108869,Medium
Samburu,46.75785786290323,-1.0085334433925002,-0.03722961618125442,0.9986517169448412,0.5145788983818514,0.49966084963275775,Medium
Isiolo,30.164875788643535,-1.3247078518019009,-0.10953988104668361,0.9995948651284536,0.31906802977629684,0.5319798831765103,Medium
Baringo,55.075614508393286,-0.8500410292555124,0.03049350221542757,0.9531012899440927,0.5243538327574088,0.4267842185257475,Medium
Elgeyo-Marakwet,61.43940532124126,-0.7287808611622398,0.026851389907663115,0.9988146802284952,0.8162403860603623,0.4840075026703113,Medium
Trans Nzoia,50.77133556547619,-0.9320578025103325,0.03183411099092326,0.9993757710509052,0.4311499822421227,0.41532619644756485,Medium
Bungoma,112.46751354586694,0.2435447797603685,0.026868850495212704,0.9906030765236944,0.7585926355448473,0.5920292344590954,Medium
Garissa,42.38881515444015,-1.0917842712112453,-0.1033920123442259,0.997801116763492,0.09440204793790538,0.5292252342429613,Medium
Uasin Gishu,81.86352370689656,-0.33960527361757353,0.03388330530803685,0.9968372459779017,0.25195084493265213,0.46471573355157714,Medium
Kakamega,148.28346445862675,0.9260072232670585,0.014417287594769346,0.9998419250597568,0.2047238893749851,0.6348870640481964,Medium
Laikipia,81.09271385941645,-0.3542928292620304,-0.0004186588063117558,0.9991944706973551,0.23062897558430911,0.5036358790726124,Medium
Busia,162.9974127435065,1.20637719374724,0.010016511689312613,0.7612258132273183,0.0686492304756289,0.612276546603883,Medium
Meru,97.47009892086331,-0.042226558719341015,-0.05699934257202788,0.9993634734635716,1.0,0.6874746962381839,Medium
Nandi,143.97582632211538,0.8439264415632055,0.01838442166227494,0.9995395203720249,0.2575800590228881,0.6254712246801682,Medium
Siaya,165.07321506076389,1.2459309982831859,-0.010303261498477212,0.16047136979523974,0.08259684300189025,0.5232892475965589,Medium
Nakuru,80.89171626984127,-0.3581227793994582,0.034217560650195544,0.9202627058323923,0.4319674170169117,0.46479134800864275,Medium
Vihiga,184.30612275094697,1.6124084152852505,0.013976280413248277,1.0,0.08496292444245344,0.7049874907861707,High
Nyandarua,105.87524580144557,0.11793105072475794,0.06610838562007804,0.9761410177479293,0.36375350906791165,0.4863207466939591,Medium
Tharaka,89.09943181818181,-0.2017271661049146,-0.0572776633021862,0.9986093121228319,0.7923182772285443,0.6479605929789604,Medium
Kericho,137.85514987244898,0.7272987463799111,0.006282017967900511,0.9991635003696622,0.43951124838227423,0.6446742248787227,Medium
Kisumu,172.92720170454547,1.395586411013677,-0.03853614054295007,0.3580802343743892,0.13273359370564367,0.62043048254643,Medium
Nyeri,145.14043378496504,0.8661176953081773,0.09867413573292216,0.9993484438531194,0.6935689243216556,0.5725981674199746,Medium
Tana River,49.219026548672566,-0.9616365956928934,-0.12320044272223424,0.9941107384487713,0.11879013334621553,0.5708206382034848,Medium
Kitui,116.75011373976342,0.32514847080874915,-0.11706466143141425,0.9973343719365539,0.2910409065445693,0.7339076941734293,High
Kirinyaga,113.45018813189338,0.2622693558796811,0.02819881107894362,0.9969534692932388,0.7893159068719151,0.596953903056521,Medium
Embu,103.60602039599236,0.07469162595434561,-0.059219128098677465,0.9619691472086563,0.5825828155051075,0.654875518043936,Medium
